Account,Assists,Deaths,Heals,Hours_Played,Kill_Death_Ratio,Kills,Kills_Per_Minute,Matches_Won,Resupplies,Revives,Score_Per_Min,Total_Damage_Done,Win_Ratio
StarRedd,24938,33761,299163,1312,4.75,160265,2.03,3047,43646,22100,675.18,17702653,0.77
A1AA2AAA3-_-,45359,68851,376612,1994,3.32,228468,1.91,4638,43874,17485,675.06,26421074,0.72
JA1SON95-,29791,58116,709118,1633,3.27,190108,1.94,2936,52213,45821,675.04,20654969,0.69
wadsy10,1459,3202,3100,110,4.58,14680,2.21,235,1513,424,674.76,1611347,0.6
Makaveliz0r,61696,86358,435665,2765,3.53,305076,1.84,9920,95251,26563,674.71,35263114,0.78
EnAn0MoTiVaO,2175,5043,28449,122,3.31,16709,2.28,256,3297,2070,674.71,1853911,0.6
XxXBRUTALKINGXxX,14514,52234,522621,2095,1.29,67320,0.54,4725,59731,44701,674.59,8226266,0.61
2651498149,1124,2752,2117,131,2.84,7816,0.99,196,771,429,674.16,894657,0.61
daipanman_P,25530,52439,408710,1278,2.66,139580,1.82,3372,31099,29485,674.09,15950132,0.66
Highllender,7115,11836,108321,411,3.31,39147,1.59,858,19781,7395,673.99,4422535,0.69
CaleyGom,23474,42012,33289,907,2.78,116718,2.14,2049,10601,3726,673.86,13825242,0.65
Tenpura-Bushidan,5154,11805,18429,378,3.43,40448,1.78,726,8734,2494,673.58,4769017,0.63
Faaaaaiqo,7068,7775,54617,372,4.82,37471,1.68,867,10472,6103,673.33,4195079,0.75
GoldenPhoenix771,34692,51334,121052,1527,3.18,163491,1.78,6216,28685,5727,673.2,18266310,0.95
xMC_H4MMER_GEILx,27030,27639,307910,1275,5.64,155767,2.04,3873,24449,14907,673.14,17962617,0.67
CrazyNevada,9522,15329,159093,610,3.91,60005,1.64,1164,27389,8421,673.06,6791493,0.67
Raven_RN23,18830,47136,251049,1704,1.68,79275,0.78,3425,61417,16176,673.06,10068583,0.67
ScreenShooot,16138,15689,146784,844,5.29,82949,1.64,1971,21744,13171,672.69,9374138,0.73
Gafropanda,20800,34237,87989,1050,3.97,136060,2.16,2374,42714,7411,672.67,15572332,0.63
Ya its Lando,2494,5967,11118,156,3.39,20252,2.15,685,2159,1197,672.63,2322036,0.69
EIJudge,31716,61680,392854,1460,2.08,128561,1.47,3003,92982,26216,672.46,15860064,0.55
l DoDo l,19238,24148,219475,1090,4.77,115268,1.76,2988,18428,18945,672.09,12490606,0.83
