Account,Assists,Deaths,Heals,Hours_Played,Kill_Death_Ratio,Kills,Kills_Per_Minute,Matches_Won,Resupplies,Revives,Score_Per_Min,Total_Damage_Done,Win_Ratio
qwq2340145,1205,4690,17233,94,1.1,5154,0.91,137,5005,846,401.39,666933,0.52
qwq2340145,1205,4690,17233,94,1.1,5154,0.91,137,5005,846,401.39,666933,0.52
SpartanVex-,2068,5836,9688,192,1.63,9501,0.82,334,1630,1328,401.36,1169194,0.58
The_Spartan771,8576,22983,72745,530,1.66,38251,1.2,996,11469,5219,401.34,4609680,0.54
xCapTainDuLah,2661,5612,44440,195,3.03,16980,1.45,526,4483,3185,401.33,1883344,0.7
Night_QwO,5143,10925,58056,450,1.91,20822,0.77,422,12636,7595,401.32,2547302,0.53
MuMa333,6643,12656,39035,673,3.46,43768,1.08,940,7417,2080,401.31,5183781,0.54
Br4veSold1er,10155,21548,218180,837,1.97,42480,0.85,1632,24052,9564,401.31,5273898,0.58
rondrigoss,3767,6882,26044,258,2.89,19885,1.28,555,4344,1385,401.3,2325377,0.59
dugoszycki,1410,2875,8071,111,2.36,6781,1.02,163,1926,494,401.29,870514,0.52
Br4veSold1er,10125,21504,218180,835,1.97,42359,0.84,1627,24043,9555,401.29,5258895,0.58
nokonoko2525,2221,8316,4825,194,1.37,11406,0.97,265,2963,1342,401.29,1390026,0.45
D4W4LL,6994,12804,34303,358,2.45,31400,1.46,764,4628,2734,401.28,3793887,0.56
MagicXu32,8566,19580,142558,578,1.58,30912,0.89,1039,34110,10484,401.27,3924101,0.62
Ss_OSIRIS_sS,19581,33836,280146,1879,3.24,109522,0.97,3313,23634,21197,401.24,12313753,0.58
Valentilm_,1621,3637,8101,141,2.41,8775,1.03,243,2474,550,401.2,1030454,0.57
Hyperspace_dmt,19147,41042,76902,1245,1.7,69616,0.93,1684,13350,8099,401.19,8885822,0.53
fizh297,2172,7077,15123,173,1.39,9849,0.95,272,2673,1294,401.19,1191508,0.5
fizh297,2172,7077,15123,173,1.39,9849,0.95,272,2673,1294,401.19,1191508,0.5
nokonoko2525,2267,8443,4825,198,1.37,11603,0.97,269,3051,1356,401.19,1417035,0.45
gromit1860,8687,22221,38280,514,1.44,32063,1.04,868,5576,2404,401.18,4114962,0.56
gggsoleyvi123,27623,68371,168540,3070,2.49,170279,0.92,5256,31521,18959,401.17,20885893,0.65
BartMax__,5708,16821,26806,559,2.11,35572,1.06,1568,2747,3539,401.16,4260159,0.52
BartMax__,5708,16821,26806,559,2.11,35572,1.06,1568,2747,3539,401.16,4260159,0.52
P1STO87,11219,25076,133125,1013,1.96,49141,0.81,1701,25527,7768,401.16,5921777,0.56
P1STO87,11219,25076,133125,1013,1.96,49141,0.81,1701,25527,7768,401.16,5921777,0.56
Jimmy_SUI,31391,75539,75260,2402,1.86,140223,0.97,4497,14339,19151,401.16,16974727,0.6
opoi8898,7937,15728,126025,592,2.12,33281,0.94,852,29708,3693,401.15,4256269,0.53
not_Bitzey,1230,4004,58792,104,1.54,6156,0.98,170,3312,1759,401.15,725953,0.55
marigold-21,13433,45324,54317,1122,1.4,63475,0.94,1817,27035,5366,401.15,7675679,0.52
marigold-21,13433,45324,54317,1122,1.4,63475,0.94,1817,27035,5366,401.15,7675679,0.52
TerribleFaith,1939,4901,156201,172,1.43,7018,0.68,435,11321,10739,401.14,825042,0.65
firelister,1548,5668,60402,182,1.35,7624,0.69,273,5114,3309,401.14,855042,0.49
firelister,1548,5668,60402,182,1.35,7624,0.69,273,5114,3309,401.14,855042,0.49
Breach_hand1,3066,6839,28155,176,1.77,12120,1.15,237,5995,2373,401.13,1552261,0.54
NegritoLZ94,6774,18734,25543,510,1.68,31523,1.03,1196,4013,3596,401.12,3806445,0.59
Yo_Fat_Mamma_123,3882,7564,12596,282,2.13,16094,0.95,515,3217,929,401.11,2086646,0.54
BLITZKRIEGnz84,17831,32337,46181,1644,3.01,97329,0.99,2601,21165,5216,401.1,11720317,0.54
o0Makar0v0o,2330,5880,15026,152,1.99,11713,1.28,253,4392,963,401.1,1414527,0.63
louidgie,3121,8966,21636,345,1.6,14332,0.69,526,3241,2789,401.1,1773069,0.56
AgentBiKo,2179,6545,39307,167,1.16,7615,0.76,218,1739,1899,401.1,959921,0.53
AgentBiKo,2179,6545,39307,167,1.16,7615,0.76,218,1739,1899,401.1,959921,0.53
opoi8898,7939,15733,126025,592,2.12,33295,0.94,853,29708,3693,401.08,4257672,0.53
DerJooker,1369,4269,18489,129,1.68,7173,0.92,207,1411,1537,401.07,835243,0.54
gromit1860,8689,22228,38280,514,1.44,32076,1.04,868,5576,2404,401.07,4117227,0.56
TreeBryant,7438,25838,407407,746,1.13,29309,0.65,1271,34354,31441,401.07,3605088,0.58
MuMa333,6620,12609,38978,670,3.46,43619,1.08,938,7379,2078,401.06,5166566,0.54
VanHell74,22852,28581,45860,1845,3.64,103976,0.94,2798,14041,4474,401.02,12885766,0.48
VanHell74,22852,28581,45860,1845,3.64,103976,0.94,2798,14041,4474,401.02,12885766,0.48
BLITZKRIEGnz84,17840,32340,46181,1645,3.01,97391,0.99,2604,21165,5216,401.02,11727698,0.54
SuBing00,10324,17956,76451,900,2.9,52011,0.96,1651,23302,7095,401.02,6242280,0.65
c3l1w_,7126,15824,20423,487,1.97,31233,1.07,1382,4709,3675,401.02,3962282,0.58
c3l1w_,7126,15824,20423,487,1.97,31233,1.07,1382,4709,3675,401.02,3962282,0.58
MrSeaL_Tv,4477,10725,92202,340,1.59,17101,0.84,550,12878,6809,401.02,2094674,0.55
TreeBryant,7408,25796,406111,744,1.13,29200,0.65,1265,34272,31357,401,3591530,0.58
Yo_Fat_Mamma_123,3875,7550,12596,282,2.13,16058,0.95,514,3217,927,400.99,2082657,0.54
TwoSocksAnna,15717,37136,117014,1022,1.57,58168,0.95,1853,14352,16835,400.99,7272007,0.51
hitominJP,13716,39457,199881,901,1.37,54015,1,1515,23102,8473,400.99,6821262,0.51
M16x1776xAR15,6416,18160,89847,612,1.8,32617,0.89,952,13433,9583,400.98,3805471,0.49
M16x1776xAR15,6403,18153,89847,611,1.79,32545,0.89,950,13433,9583,400.98,3797479,0.49
gggsoleyvi123,27623,68385,168540,3075,2.49,170408,0.92,5261,31521,18959,400.95,20905781,0.65
lokviola,17581,41168,213046,1636,2.12,87372,0.89,2424,29077,11930,400.92,10525722,0.51
KESSO MLG,11093,27687,81514,950,1.56,43057,0.76,2057,5487,7199,400.92,5344069,0.72
E9cxeI,2100,5057,27179,139,2.22,11246,1.34,271,3728,1103,400.91,1340380,0.51
E9cxeI,2100,5057,27179,139,2.22,11246,1.34,271,3728,1103,400.91,1340380,0.51
SillyG0O5e,8026,19689,60498,709,2.03,39899,0.94,1235,15236,5950,400.91,4693791,0.57
SillyG0O5e,8026,19689,60498,709,2.03,39899,0.94,1235,15236,5950,400.91,4693791,0.57
esercigks,1146,3801,17266,128,1.33,5050,0.65,203,4322,1020,400.91,631787,0.53
ThaSlider,10167,23970,330635,784,1.14,27437,0.58,1236,56416,13647,400.91,3787010,0.5
Yo ItsBob1278,4907,14742,33761,487,2.19,32297,1.1,834,3710,4517,400.89,3662406,0.51
NuditysShiver,31490,42139,199397,2055,2.63,110754,0.9,4509,38052,15750,400.88,13609835,0.65
NuditysShiver,31490,42139,199397,2055,2.63,110754,0.9,4509,38052,15750,400.88,13609835,0.65
TwoSocksAnna,15747,37182,117014,1025,1.57,58316,0.95,1859,14360,16839,400.87,7288850,0.51
SoupDroppins,3898,14616,24561,470,1.43,20857,0.74,789,14065,2009,400.87,2561518,0.53
TheEbabil,2791,6552,82752,218,1.79,11750,0.9,501,7780,3883,400.86,1349880,0.94
KESSO MLG,11085,27647,81505,949,1.56,43009,0.75,2057,5477,7197,400.86,5337740,0.73
tal Napoleao,2100,6769,18013,223,1.62,10960,0.82,394,2128,2535,400.85,1328266,0.55
tal Napoleao,2100,6769,18013,223,1.62,10960,0.82,394,2128,2535,400.85,1328266,0.55
FRANKKANO981,8278,29300,87818,673,1.39,40750,1.01,870,30724,7460,400.84,4869328,0.48
D4W4LL,6943,12743,33957,357,2.45,31230,1.46,758,4599,2720,400.82,3771296,0.55
citatoure,14450,32690,87627,1245,2.19,71621,0.96,1955,18386,9914,400.82,8832176,0.54
DokGoDaE,10432,22263,109006,818,2.15,47964,0.98,1546,17120,7490,400.82,5803737,0.71
Pezmaschin,1670,4092,15201,146,2.04,8360,0.95,282,2257,1193,400.82,984127,0.58
Hot_Gerbil_Milk,2336,7176,48063,245,1.24,8866,0.6,548,11297,2558,400.82,1040826,0.73
Hot_Gerbil_Milk,2336,7176,48063,245,1.24,8866,0.6,548,11297,2558,400.82,1040826,0.73
Jimmy_SUI,31283,75362,75147,2395,1.85,139615,0.97,4485,14319,19100,400.81,16901211,0.6
SoupDroppins,3898,14628,24561,470,1.43,20868,0.74,789,14083,2009,400.81,2562875,0.53
Green-Arrow__93,23497,54052,155047,1709,2.79,150561,1.47,3844,16304,12888,400.8,17211699,0.65
Bochumer1848__,1384,3251,7693,143,1.83,5959,0.69,197,1037,1327,400.79,722594,0.51
Bochumer1848__,1384,3251,7693,143,1.83,5959,0.69,197,1037,1327,400.79,722594,0.51
MelmanElGiraffe,4907,10706,25171,306,1.58,16866,0.92,476,17627,2879,400.79,2094863,0.55
MelmanElGiraffe,4907,10706,25171,306,1.58,16866,0.92,476,17627,2879,400.79,2094863,0.55
Cardboard_Toast,2107,6664,27371,238,1.64,10939,0.76,404,3490,2832,400.77,1269123,0.58
ElSebastiano29,2583,6542,16972,179,1.61,10549,0.98,315,2061,1743,400.77,1336269,0.53
ElSebastiano29,2583,6542,16972,179,1.61,10549,0.98,315,2061,1743,400.77,1336269,0.53
The_Spartan771,8523,22888,72423,528,1.66,38018,1.2,991,11374,5186,400.76,4581646,0.54
rich229,10689,36580,48519,1270,1.58,57700,0.76,2166,12714,7327,400.75,6914064,0.54
rich229,10703,36607,48720,1272,1.58,57783,0.76,2169,12755,7343,400.74,6923291,0.54
Private_Sarafov,13520,32276,161249,1062,1.51,48716,0.76,2310,33238,15759,400.74,6150943,0.61
SuBing00,10297,17936,76398,898,2.89,51864,0.96,1649,23299,7089,400.73,6224745,0.65
TerribleFaith,1937,4887,154275,171,1.43,7000,0.68,432,11226,10647,400.73,823194,0.64
lokviola,17501,41092,212406,1632,2.12,86970,0.89,2415,29050,11904,400.72,10479517,0.51
FRANKKANO981,8250,29220,87360,672,1.39,40597,1.01,867,30643,7442,400.72,4852441,0.48
citatoure,14438,32680,87627,1244,2.19,71570,0.96,1953,18385,9905,400.69,8826118,0.54
g12040811,4506,9992,48898,360,1.91,19073,0.88,614,5384,3685,400.69,2369426,0.56
g12040811,4506,9992,48898,360,1.91,19073,0.88,614,5384,3685,400.69,2369426,0.56
BioBopaniker,30404,69639,976638,2789,1.82,126962,0.76,5601,66532,53389,400.69,14785704,0.59
BioBopaniker,30404,69639,976638,2789,1.82,126962,0.76,5601,66532,53389,400.69,14785704,0.59
LiuJiaChi99,1406,5268,65125,144,0.72,3775,0.44,223,6341,1766,400.69,530629,0.53
GhostDubs19,9021,29575,253680,925,1.58,46724,0.84,1549,19741,11141,400.68,5503764,0.58
GhostDubs19,9021,29575,253680,925,1.58,46724,0.84,1549,19741,11141,400.68,5503764,0.58
Tiwgod,2701,5849,34879,226,1.94,11329,0.84,362,4369,1963,400.67,1404380,0.55
BHR_Torres,2076,6734,39475,175,1.39,9347,0.89,226,10009,4027,400.66,1161400,0.56
RAYZE-I-,3739,7414,13024,170,3.19,23671,2.32,606,1115,1488,400.65,2618077,0.66
TRATC54,3519,16613,64930,456,1.23,20457,0.75,931,9516,5023,400.65,2376995,0.61
RAYZE-I-,3743,7419,13024,170,3.19,23683,2.32,606,1115,1488,400.64,2619420,0.66
OccupiedBrain,9011,16126,43916,1089,3.12,50276,0.77,1589,15150,5682,400.64,5905732,0.63
TRATC54,3522,16626,64930,456,1.23,20481,0.75,932,9519,5028,400.64,2379692,0.61
Luckystrickers,6218,16442,49420,453,1.6,26259,0.96,806,13545,4097,400.63,3214608,0.57
Spicy_Popsicle,13227,44567,81279,1442,2.03,90563,1.05,2264,16130,11291,400.62,10438939,0.57
ThaSlider,10122,23896,328940,781,1.14,27309,0.58,1229,56294,13573,400.6,3771339,0.5
CAPTINCRUNCHY03,10521,24010,126598,655,2.65,63520,1.62,2353,18417,9578,400.59,6748104,0.77
Boxofmangos,5859,13353,64729,430,2.07,27606,1.07,828,17759,3958,400.59,3222973,0.58
Boxofmangos,5859,13353,64729,430,2.07,27606,1.07,828,17759,3958,400.59,3222973,0.58
Ivo_JB,2937,7980,30274,253,1.68,13374,0.88,519,3209,1895,400.59,1600555,0.61
Grayfoxstone,686,2194,1303,100,2.48,5434,0.9,160,431,194,400.58,642272,0.57
AngryBritish_YT,3415,12778,33425,346,1.36,17395,0.84,632,3955,3091,400.58,2046577,0.58
AngryBritish_YT,3415,12778,33425,346,1.36,17395,0.84,632,3955,3091,400.58,2046577,0.58
Spicy_Popsicle,13257,44712,81346,1445,2.03,90840,1.05,2267,16187,11313,400.57,10471006,0.57
DRED1967,19563,54359,120898,1891,1.55,84460,0.74,2942,23761,13426,400.54,10396425,0.54
phunklounge,10123,26157,124998,771,1.54,40179,0.87,1553,17328,8753,400.54,4888777,0.58
Xanti0,13028,31416,425476,762,2.12,66481,1.45,2320,37635,20878,400.53,7941671,0.65
Xanti0,13028,31416,425476,762,2.12,66481,1.45,2320,37635,20878,400.53,7941671,0.65
phunklounge,10091,26115,124745,769,1.53,40065,0.87,1549,17312,8738,400.53,4874821,0.58
Sfielks,3002,7514,20393,294,1.82,13701,0.78,467,3375,2116,400.46,1815523,0.57
DRED1967,19553,54301,120848,1889,1.55,84355,0.74,2941,23755,13417,400.43,10384035,0.54
The_Hero1985,20832,79069,291020,1987,0.93,73725,0.62,3184,40917,24717,400.42,9459199,0.61
salva321,20596,75493,202604,2074,1.46,110043,0.88,3449,27174,29629,400.41,12696566,0.56
salva321,20596,75493,202604,2074,1.46,110043,0.88,3449,27174,29629,400.41,12696566,0.56
Fukucho_d,20765,55640,117889,1326,1.16,64815,0.81,2124,30607,10124,400.41,9079739,0.48
Fukucho_d,20765,55640,117889,1326,1.16,64815,0.81,2124,30607,10124,400.41,9079739,0.48
WARG valen,13529,31460,267974,872,1.78,55933,1.07,1697,39996,16091,400.4,6759379,0.52
WARG valen,13529,31460,267974,872,1.78,55933,1.07,1697,39996,16091,400.4,6759379,0.52
The_Hero1985,20832,79079,291020,1988,0.93,73735,0.62,3184,40917,24717,400.4,9460587,0.61
Gwils78,12671,27170,522205,1134,1.83,49841,0.73,1709,31953,16643,400.39,6246287,0.48
Cardboard_Toast,2096,6645,27371,237,1.63,10839,0.76,400,3486,2831,400.39,1258519,0.58
Private_Sarafov,13460,32132,160818,1058,1.51,48457,0.76,2304,33194,15740,400.37,6117967,0.61
UFO720,5522,15420,39998,563,1.83,28147,0.83,923,6725,4974,400.33,3374128,0.66
SmartSoldier99,6819,13524,11908,511,3.21,43390,1.41,851,3061,1038,400.32,5047617,0.51
itetee,12739,20983,204627,932,2.39,50200,0.9,1589,54949,6927,400.31,6584422,0.57
Justcauseican396,2151,5396,31376,175,1.57,8490,0.81,299,2803,1865,400.3,1033445,0.54
Justcauseican396,2151,5396,31376,175,1.57,8490,0.81,299,2803,1865,400.3,1033445,0.54
Spial_hage,6259,14008,32221,463,1.86,26091,0.94,704,11421,1387,400.29,3506615,0.49
Spial_hage,6259,14008,32221,463,1.86,26091,0.94,704,11421,1387,400.29,3506615,0.49
itetee,12732,20972,204624,931,2.39,50109,0.9,1586,54949,6922,400.24,6573704,0.57
tyty0120,20368,38928,35571,1581,3.6,140039,1.48,3542,4813,2548,400.23,16565901,0.59
clomba,2069,4404,20635,171,2.46,10822,1.05,224,2820,652,400.23,1283035,0.43
clomba,2069,4404,20635,171,2.46,10822,1.05,224,2820,652,400.23,1283035,0.43
Luckystrickers,6194,16365,49358,451,1.6,26113,0.96,802,13540,4082,400.22,3196249,0.57
EASTON ROCKS,1504,4421,21631,130,1.79,7932,1.01,227,1608,1014,400.2,912766,0.54
EASTON ROCKS,1504,4421,21631,130,1.79,7932,1.01,227,1608,1014,400.2,912766,0.54
budzik198,10589,33162,49701,833,1.58,52557,1.05,1785,8317,8018,400.2,6051996,0.56
budzik198,10589,33162,49701,833,1.58,52557,1.05,1785,8317,8018,400.2,6051996,0.56
Gwils78,12645,27121,520640,1132,1.83,49692,0.73,1706,31862,16594,400.19,6228590,0.48
poodle003,10918,30476,148912,1153,1.69,51374,0.74,1845,23527,8387,400.19,6312200,0.55
xThomas Hewitt,18426,47445,44949,1099,1.33,63287,0.96,2416,50091,5654,400.18,7937831,0.6
xThomas Hewitt,18426,47445,44949,1099,1.33,63287,0.96,2416,50091,5654,400.18,7937831,0.6
dejpi,4791,15484,9942,339,1.34,20700,1.02,526,551,1182,400.17,2631919,0.48
supertard95,13668,36621,94024,1103,1.66,60728,0.92,1677,26732,7349,400.16,7576462,0.54
supertard95,13668,36621,94024,1103,1.66,60728,0.92,1677,26732,7349,400.16,7576462,0.54
DorheNn,1141,3239,4281,90,1.4,4520,0.83,123,947,518,400.16,581951,0.45
DorheNn,1141,3239,4281,90,1.4,4520,0.83,123,947,518,400.16,581951,0.45
KAM_KaZAMz1967z,9782,18612,95920,785,2.61,48635,1.03,1674,16591,7188,400.15,5711689,0.63
ll ninetoe ll,3583,11948,6335,464,2.14,25578,0.92,854,6346,950,400.14,2930981,0.53
mack677,10974,29683,37265,850,1.73,51363,1.01,1730,7049,3405,400.14,6184174,0.61
mack677,10974,29683,37265,850,1.73,51363,1.01,1730,7049,3405,400.14,6184174,0.61
ll ninetoe ll,3558,11844,6335,461,2.14,25394,0.92,847,6174,939,400.13,2909261,0.53
badland890,11376,28933,205800,918,1.49,43026,0.78,1510,37695,6884,400.13,5539605,0.53
FguareziBR,8785,15631,2450,629,2.07,32299,0.85,1109,24235,2797,400.12,4114309,0.59
FguareziBR,8785,15631,2450,629,2.07,32299,0.85,1109,24235,2797,400.12,4114309,0.59
badland890,11361,28916,205689,917,1.49,42951,0.78,1510,37628,6877,400.07,5531032,0.53
UFO720,5536,15456,40031,564,1.83,28208,0.83,926,6729,4977,400.06,3380953,0.66
Kleines84,14022,36437,414723,1078,1.2,43891,0.68,2665,27090,19817,400.04,5665875,0.6
BaboCan74,10940,39877,98042,769,1.01,40293,0.87,1408,17882,10486,400.04,4881100,0.55
MrSeaL_Tv,4401,10582,89588,335,1.59,16807,0.83,542,12652,6644,400.03,2059615,0.55
igagurimarronx,4144,15300,11960,389,1.27,19379,0.83,633,14681,1232,400.03,2457131,0.54
makatsi,8663,11639,60016,750,3.95,46009,1.02,1444,8379,3466,400.02,5404661,0.56
makatsi,8663,11639,60016,750,3.95,46009,1.02,1444,8379,3466,400.02,5404661,0.56
VD22XXI007,1648,4086,57608,131,1.57,6400,0.81,232,9320,1635,400.02,855000,0.54
VD22XXI007,1648,4086,57608,131,1.57,6400,0.81,232,9320,1635,400.02,855000,0.54
Ivo_JB,2918,7951,30033,252,1.67,13257,0.88,517,3201,1889,400.01,1587577,0.61
BaboCan74,10935,39847,97937,768,1.01,40264,0.87,1408,17860,10482,400.01,4877753,0.55
GolfRomeo38,9859,34500,30501,982,0.72,24892,0.42,1938,40673,15474,400.01,3320066,0.62
GolfRomeo38,9859,34500,30501,982,0.72,24892,0.42,1938,40673,15474,400.01,3320066,0.62
dejpi,4764,15425,9942,338,1.34,20627,1.02,525,551,1181,399.99,2621920,0.48
matiw2010,3414,7846,69122,232,2.31,18127,1.3,624,7344,3589,399.97,2126904,0.63
matiw2010,3414,7846,69122,232,2.31,18127,1.3,624,7344,3589,399.97,2126904,0.63
SmartSoldier99,6792,13494,11908,509,3.2,43199,1.41,849,3060,1036,399.96,5025556,0.52
Anjo_BRA_,27250,77905,394421,3113,1.71,133512,0.71,5820,55013,36300,399.96,16315114,0.53
Kleines84,14030,36473,415065,1079,1.2,43907,0.68,2666,27122,19835,399.96,5667875,0.6
tyty0120,20343,38860,35571,1578,3.59,139674,1.48,3536,4813,2546,399.92,16522958,0.59
Pablimr0x,8971,29761,58615,844,1.63,48622,0.96,1434,9541,4005,399.92,5751366,0.53
XZDY-QIUFENGBABA,5714,16793,37664,417,2.06,34674,1.39,456,9912,2798,399.91,4247954,0.57
Anjo_BRA_,27242,77900,394312,3112,1.71,133443,0.71,5820,55000,36289,399.89,16306885,0.53
B_AAA_X,8634,24992,75367,671,1.56,38964,0.97,1694,5531,9153,399.88,4730305,0.55
B_AAA_X,8634,24992,75367,671,1.56,38964,0.97,1694,5531,9153,399.88,4730305,0.55
esercigks,1120,3753,17078,126,1.32,4956,0.65,199,4281,1008,399.88,619997,0.53
LABULLE31,6568,12017,35889,451,1.93,23155,0.85,922,4059,8187,399.76,2836964,0.56
Os2k2,7187,25404,8413,831,2.04,51770,1.04,1613,3466,2863,399.75,5844557,0.59
KotVerkoster92,2506,5070,9250,201,2.13,10805,0.9,338,8803,687,399.73,1344684,0.52
KotVerkoster92,2506,5070,9250,201,2.13,10805,0.9,338,8803,687,399.73,1344684,0.52
SmallestSine16,4329,12930,175990,382,1.23,15849,0.69,786,13749,8857,399.73,2003938,0.6
Tiwgod,2681,5829,34634,224,1.92,11211,0.83,358,4342,1943,399.7,1390805,0.55
Kaita-Five-0,9951,41312,121376,891,1.21,49877,0.93,1486,12281,12049,399.7,5935367,0.52
reconbaby87,7080,16813,28245,602,1.95,32833,0.91,1432,3579,4372,399.68,3911408,0.7
aRelentlessYeti,2558,7585,42699,222,1.73,13153,0.99,454,10591,3407,399.67,1514431,0.61
ShannonTheGuy,3070,12340,20953,270,0.96,11836,0.73,512,5010,2756,399.67,1413985,0.58
sa80a123,2478,5666,19985,209,1.89,10703,0.85,348,2632,1835,399.65,1305809,0.54
ko1025D3,4760,14734,24140,382,1.75,25851,1.13,683,4654,1774,399.65,3074939,0.65
emir0203,1626,5222,6757,129,1.39,7246,0.93,202,2817,1228,399.65,895032,0.54
SmallestSine16,4334,12967,176476,383,1.22,15882,0.69,787,13789,8876,399.65,2008046,0.6
yakon_007,1144,3393,7629,107,1.5,5076,0.79,149,2367,929,399.64,618273,0.51
DaR4YuS7,2407,5236,24509,224,2.49,13044,0.97,319,5968,1395,399.63,1590966,0.51
FroZzelyy24,2401,7789,17843,252,2.52,19593,1.29,452,1690,1968,399.6,2161472,0.6
Fuccey,1603,3721,17741,93,1.6,5971,1.07,178,1790,777,399.57,753186,0.49
Solitaire097,18800,63865,99943,2005,1.47,93856,0.78,4121,17014,19920,399.56,11309547,0.65
ElFrokko_Brolr,4686,11124,31599,387,2.3,25583,1.1,584,5457,2376,399.49,2990213,0.56
nihility7548,2947,9394,61977,223,1.31,12345,0.92,305,5520,3246,399.48,1536790,0.5
Tong Po 357,20622,25065,97113,1513,4.02,100815,1.11,4088,11143,7216,399.45,11600693,0.7
malegan666,8553,17632,63216,669,2.35,41492,1.03,1310,4823,3808,399.45,5000643,0.61
evilsubsetx,1714,4525,11785,121,1.73,7822,1.07,180,3507,770,399.45,930204,0.54
ezlemos95,3343,14097,20856,363,1.55,21910,1,618,4363,3062,399.45,2568144,0.58
UhhStiffy,2356,4787,5401,165,2.45,11706,1.18,294,1356,651,399.42,1404912,0.59
ghn904,4708,6830,29356,359,2.89,19768,0.92,513,23807,1655,399.39,2525218,0.52
TheMaNiak4,1467,3512,5671,103,1.74,6114,0.98,174,798,1021,399.39,743974,0.61
theskyisfallin,4874,15595,67743,533,1.4,21831,0.68,827,12338,5730,399.39,2638869,0.5
Tommsen4,17514,40346,91163,1671,2.21,89122,0.89,3009,20895,10271,399.38,10662030,0.6
igagurimarronx,4119,15203,11921,387,1.27,19233,0.83,631,14657,1222,399.38,2440391,0.54
samyoung7513,16280,22565,170391,1094,2.65,59850,0.91,1618,24672,7780,399.36,8008184,0.56
Zixth,1486,3590,1657,109,1.8,6478,0.98,257,1540,895,399.35,782078,0.69
YoSoyMcLOVIN209,13225,28452,189117,825,1.59,45190,0.91,1666,17128,14542,399.32,5659584,0.56
Not-Real-Oreos,10744,14860,62953,900,3.63,53958,1,1644,23647,4347,399.29,6537521,0.63
Bienenmannxxx,4764,10877,32640,313,1.79,19456,1.03,544,7075,2660,399.29,2440473,0.48
LynXLaw,12824,37074,142285,885,1.56,57797,1.09,1897,10910,13797,399.29,6776772,0.59
speedypoison471,843,3297,11383,105,1.37,4514,0.71,161,3988,2888,399.27,536346,0.55
Pezmaschin,1657,4071,15050,145,2.04,8286,0.95,280,2241,1176,399.26,975501,0.58
DdaddyYang,4148,16266,11408,484,1.72,27928,0.96,754,14777,2062,399.25,3220663,0.53
CRIMI25,14660,38927,247385,1323,1.61,62556,0.79,2435,31501,25468,399.25,7312725,0.61
blade780electric,13144,48605,119531,991,1.61,78319,1.32,1929,15068,8137,399.23,8930915,0.55
VoiceOverMaster,17248,64296,1115247,1949,0.91,58240,0.5,3666,94197,58397,399.23,7233438,0.59
Fruhling8021,3625,10755,28368,288,1.73,18585,1.07,390,3857,1836,399.22,2346158,0.47
mic_malvarn_star,5750,24053,20853,648,1.02,24549,0.63,1070,5277,4226,399.22,3008416,0.55
blackbirdyou,7392,24286,52005,701,1.56,37811,0.9,1204,14268,10690,399.2,4328565,0.57
VivaLaVida816,4203,7989,27472,328,2.76,22064,1.12,331,6825,1892,399.19,2730294,0.49
terrivelrex,16575,45693,60773,1877,2.9,132543,1.18,3464,8900,4759,399.16,15110105,0.48
99999999999999BC,8249,18137,42011,816,2.52,45729,0.93,1259,5325,3864,399.16,5383741,0.52
Re_Ai_,1144,2963,13171,86,1.57,4647,0.9,138,1644,848,399.13,578959,0.52
Death reaper663,11509,21405,29832,1110,2.85,61051,0.92,2401,10593,6381,399.12,6989061,0.68
balonvspig,6231,23953,40808,843,1.89,45361,0.9,1226,7230,4558,399.12,5005089,0.55
bdbirra,5719,18736,789,486,1.42,26597,0.91,1308,1998,2441,399.1,3310190,0.59
krysik90,5536,17637,62980,510,1.32,23222,0.76,1123,6437,6225,399.1,2858936,0.53
chrischwa,11663,58337,133521,1296,0.77,44664,0.57,2354,24182,14313,399.1,5756692,0.54
IIxHDz,1697,4080,10987,109,2.28,9305,1.42,184,1005,632,399.08,1064569,0.53
Traziiy,3172,3116,22703,146,6.5,20239,2.3,556,1959,2846,399.06,2175566,0.8
IceManOne_Qc,26151,88049,320204,2500,1.47,129642,0.86,4867,67235,28075,399.03,15359900,0.58
YuukiAusuna,4235,9837,56461,288,1.73,17048,0.98,305,7055,3755,399.02,2138886,0.51
FlintstoneJF,18399,25713,241843,1673,2.62,67378,0.67,4101,86763,18908,399,8656452,0.71
Notorious_AZNboi,2012,3174,15621,129,2.46,7807,1.01,271,3640,989,398.99,970348,0.64
obsratk_SVK,12677,41235,132189,1154,1.36,55953,0.81,1777,12551,13320,398.98,6550044,0.51
ryuaxia,8516,10795,25982,907,4.83,52088,0.96,1477,13425,1306,398.93,6212187,0.65
AntlMufa,19783,33713,301692,1163,1.73,58260,0.83,1668,24154,23759,398.93,7492082,0.52
CloudedEye,4066,10517,49747,372,1.71,17937,0.8,649,6495,3387,398.93,2081443,0.54
Cleiiton_Souzaa,22024,50368,634765,2119,1.73,87104,0.68,3893,51778,42665,398.91,9973787,0.63
oxXxMuRDeRxXxo,11370,19805,64283,835,1.97,38991,0.78,1882,12456,6421,398.89,4751723,0.63
frankdmc62,6546,29119,72213,643,1.01,29374,0.76,1058,18265,10176,398.88,3539738,0.51
TheOF-Hexenwulf,22084,61322,111065,1630,1.4,86112,0.88,3771,16557,10023,398.87,10588855,0.71
